2026-05-23 12:00:44,404 | INFO | app.data.mt5_client | Connected to MetaTrader 5
2026-05-23 12:10:22,146 | INFO | app.data.mt5_client | Connected to MetaTrader 5
2026-05-23 12:12:39,668 | INFO | app.data.mt5_client | Connected to MetaTrader 5
2026-05-23 12:27:36,981 | INFO | app.data.mt5_client | Connected to MetaTrader 5
2026-05-23 18:30:48,306 | INFO | app.data.mt5_client | Connected to MetaTrader 5
2026-05-23 18:31:14,841 | INFO | app.data.mt5_client | Connected to MetaTrader 5
2026-05-23 20:36:55,680 | INFO | app.data.mt5_client | Connected to MetaTrader 5
2026-05-23 20:37:00,627 | INFO | app.data.mt5_client | Connected to MetaTrader 5
2026-05-23 20:37:24,123 | INFO | app.data.mt5_client | Connected to MetaTrader 5
2026-05-23 20:39:04,748 | INFO | app.data.mt5_client | Connected to MetaTrader 5
2026-05-23 20:39:09,085 | INFO | app.data.mt5_client | Connected to MetaTrader 5
2026-05-23 20:39:28,896 | INFO | app.data.mt5_client | Connected to MetaTrader 5
2026-05-23 20:40:44,465 | INFO | app.data.mt5_client | Connected to MetaTrader 5
2026-05-23 20:40:47,841 | INFO | app.data.mt5_client | Connected to MetaTrader 5
2026-05-23 20:41:49,500 | INFO | app.data.mt5_client | Connected to MetaTrader 5
2026-05-24 09:58:23,631 | INFO | app.data.mt5_client | Connected to MetaTrader 5
2026-05-24 09:58:30,801 | INFO | app.data.mt5_client | Connected to MetaTrader 5
2026-05-24 09:58:34,067 | INFO | app.data.mt5_client | Connected to MetaTrader 5
