feature,importance
atr,0.2175213540399413
volatility_rel,0.15954017560469363
body_pct,0.14503173854293874
upper_wick_pct,0.13700804697018926
lower_wick_pct,0.12557026385340248
dow,0.05175849883050835
bear_fvg,0.028526969977213282
large_body,0.023517169637733294
engulf_bull,0.021659264886190844
swing_low,0.01580327064692164
direction,0.01529803780678729
engulf_bear,0.013847571344731876
rejection_bear,0.010884659482619127
swing_high,0.009704660771130373
bull_fvg,0.009053319268212972
rejection_bull,0.006187345193142846
sweep_low,0.0051370723628710825
sweep_high,0.003950580780771596
session_hour,0.0
london,0.0
ny,0.0
overlap,0.0
