rule,samples,wins,losses,win_rate,expectancy_r,profit_factor
engulf_bear AND sweep_low AND london,26,6,18,0.23076923076923078,0.46153846153846156,1.6666666666666667
engulf_bear AND sweep_low AND ny,40,8,28,0.2,0.3,1.4285714285714286
engulf_bear AND sweep_low AND overlap,40,8,28,0.2,0.3,1.4285714285714286
large_body AND sweep_low AND ny,32,6,21,0.1875,0.28125,1.4285714285714286
large_body AND sweep_low AND overlap,32,6,21,0.1875,0.28125,1.4285714285714286
rejection_bear AND bull_fvg AND london,22,4,17,0.18181818181818182,0.13636363636363635,1.1764705882352942
engulf_bull AND rejection_bull AND london,40,6,28,0.15,0.05,1.0714285714285714
engulf_bear AND sweep_low,218,33,165,0.15137614678899083,0.0,1.0
rejection_bull AND london,80,11,56,0.1375,-0.0125,0.9821428571428571
rejection_bull AND ny,94,13,69,0.13829787234042554,-0.0425531914893617,0.9420289855072463
rejection_bull AND overlap,94,13,69,0.13829787234042554,-0.0425531914893617,0.9420289855072463
sweep_low AND ny,94,13,69,0.13829787234042554,-0.0425531914893617,0.9420289855072463
sweep_low AND overlap,94,13,69,0.13829787234042554,-0.0425531914893617,0.9420289855072463
rejection_bull AND ny AND overlap,94,13,69,0.13829787234042554,-0.0425531914893617,0.9420289855072463
sweep_low AND ny AND overlap,94,13,69,0.13829787234042554,-0.0425531914893617,0.9420289855072463
engulf_bull AND sweep_high AND bull_fvg,68,9,49,0.1323529411764706,-0.058823529411764705,0.9183673469387755
engulf_bear AND large_body AND sweep_low,64,9,49,0.140625,-0.0625,0.9183673469387755
engulf_bull AND sweep_high AND ny,32,4,22,0.125,-0.0625,0.9090909090909091
engulf_bull AND sweep_high AND overlap,32,4,22,0.125,-0.0625,0.9090909090909091
sweep_low AND bear_fvg AND london,32,4,22,0.125,-0.0625,0.9090909090909091
engulf_bull AND rejection_bull AND ny,52,7,39,0.1346153846153846,-0.07692307692307693,0.8974358974358975
engulf_bull AND rejection_bull AND overlap,52,7,39,0.1346153846153846,-0.07692307692307693,0.8974358974358975
sweep_low AND london,76,10,57,0.13157894736842105,-0.09210526315789473,0.8771929824561403
rejection_bull AND bear_fvg,86,11,64,0.12790697674418605,-0.10465116279069768,0.859375
