feature,importance
atr,0.19192213898647864
volatility_rel,0.16698095173783647
session_hour,0.12009255350451596
body_pct,0.08781335642530459
upper_wick_pct,0.0844594053994862
lower_wick_pct,0.08442118257510708
dow,0.07807841097937313
swing_high,0.02940071559843876
ny,0.026409811675020715
overlap,0.0187910709994507
swing_low,0.01587096274595715
bear_fvg,0.012811673924718379
direction,0.01045701724066379
engulf_bear,0.009802450522731581
engulf_bull,0.009631023257775055
large_body,0.00913899403019533
sweep_high,0.009086359282607223
london,0.008666829315177581
sweep_low,0.008090059870005039
bull_fvg,0.007991317695590324
rejection_bull,0.005340359483957532
rejection_bear,0.004743354749608748
