run,trades,ending_r,max_drawdown_r,min_equity_r,max_equity_r
1,153,63.0,11.0,-1.0,67.0
2,153,63.0,11.0,-3.0,64.0
3,153,63.0,9.0,-3.0,66.0
4,153,63.0,11.0,-2.0,66.0
5,153,63.0,12.0,-7.0,66.0
6,153,63.0,11.0,-3.0,64.0
7,153,63.0,9.0,3.0,63.0
8,153,63.0,11.0,-7.0,63.0
9,153,63.0,9.0,3.0,65.0
10,153,63.0,8.0,-4.0,69.0
11,153,63.0,18.0,-4.0,63.0
12,153,63.0,9.0,-2.0,64.0
13,153,63.0,10.0,-1.0,64.0
14,153,63.0,15.0,0.0,76.0
15,153,63.0,11.0,-12.0,69.0
16,153,63.0,15.0,-5.0,63.0
17,153,63.0,9.0,0.0,70.0
18,153,63.0,12.0,-5.0,66.0
19,153,63.0,10.0,-2.0,65.0
20,153,63.0,9.0,1.0,70.0
21,153,63.0,11.0,2.0,69.0
22,153,63.0,13.0,-5.0,65.0
23,153,63.0,9.0,-2.0,67.0
24,153,63.0,23.0,1.0,64.0
25,153,63.0,9.0,-2.0,70.0
26,153,63.0,10.0,-5.0,64.0
27,153,63.0,9.0,-2.0,64.0
28,153,63.0,11.0,-12.0,73.0
29,153,63.0,12.0,-7.0,69.0
30,153,63.0,8.0,-2.0,65.0
31,153,63.0,10.0,-3.0,67.0
32,153,63.0,12.0,-1.0,69.0
33,153,63.0,11.0,-1.0,68.0
34,153,63.0,12.0,-4.0,64.0
35,153,63.0,13.0,0.0,63.0
36,153,63.0,6.0,-1.0,68.0
37,153,63.0,7.0,3.0,64.0
38,153,63.0,11.0,-4.0,63.0
39,153,63.0,15.0,-3.0,63.0
40,153,63.0,12.0,-4.0,65.0
41,153,63.0,15.0,-3.0,65.0
42,153,63.0,11.0,-3.0,63.0
43,153,63.0,15.0,-7.0,63.0
44,153,63.0,12.0,-4.0,63.0
45,153,63.0,6.0,-1.0,66.0
46,153,63.0,18.0,-1.0,64.0
47,153,63.0,10.0,-1.0,66.0
48,153,63.0,15.0,-1.0,64.0
49,153,63.0,9.0,-5.0,64.0
50,153,63.0,10.0,-8.0,63.0
51,153,63.0,9.0,-2.0,63.0
52,153,63.0,21.0,3.0,74.0
53,153,63.0,12.0,3.0,65.0
54,153,63.0,9.0,-2.0,72.0
55,153,63.0,8.0,-6.0,67.0
56,153,63.0,16.0,3.0,64.0
57,153,63.0,9.0,-3.0,66.0
58,153,63.0,8.0,-3.0,65.0
59,153,63.0,8.0,-1.0,64.0
60,153,63.0,14.0,-10.0,66.0
61,153,63.0,19.0,-1.0,64.0
62,153,63.0,9.0,-3.0,66.0
63,153,63.0,15.0,-4.0,72.0
64,153,63.0,10.0,-10.0,69.0
65,153,63.0,20.0,-4.0,67.0
66,153,63.0,8.0,-3.0,70.0
67,153,63.0,19.0,-3.0,68.0
68,153,63.0,11.0,-6.0,70.0
69,153,63.0,7.0,-3.0,66.0
70,153,63.0,22.0,-6.0,64.0
71,153,63.0,7.0,-1.0,68.0
72,153,63.0,11.0,-11.0,66.0
73,153,63.0,10.0,-5.0,65.0
74,153,63.0,8.0,-3.0,63.0
75,153,63.0,9.0,2.0,65.0
76,153,63.0,7.0,-1.0,66.0
77,153,63.0,14.0,3.0,63.0
78,153,63.0,9.0,-9.0,64.0
79,153,63.0,8.0,0.0,64.0
80,153,63.0,7.0,-3.0,64.0
81,153,63.0,9.0,-6.0,64.0
82,153,63.0,10.0,-1.0,64.0
83,153,63.0,8.0,-7.0,71.0
84,153,63.0,16.0,-4.0,72.0
85,153,63.0,10.0,-1.0,68.0
86,153,63.0,17.0,-13.0,63.0
87,153,63.0,11.0,-5.0,63.0
88,153,63.0,15.0,-3.0,63.0
89,153,63.0,10.0,-3.0,63.0
90,153,63.0,7.0,-1.0,67.0
91,153,63.0,8.0,-1.0,66.0
92,153,63.0,10.0,-3.0,64.0
93,153,63.0,11.0,-8.0,63.0
94,153,63.0,11.0,-3.0,65.0
95,153,63.0,23.0,-12.0,64.0
96,153,63.0,10.0,-2.0,63.0
97,153,63.0,11.0,-7.0,66.0
98,153,63.0,6.0,-2.0,67.0
99,153,63.0,9.0,1.0,65.0
100,153,63.0,8.0,2.0,67.0
101,153,63.0,8.0,-9.0,63.0
102,153,63.0,19.0,-15.0,64.0
103,153,63.0,12.0,-1.0,65.0
104,153,63.0,13.0,2.0,76.0
105,153,63.0,14.0,-3.0,64.0
106,153,63.0,9.0,-3.0,66.0
107,153,63.0,11.0,0.0,64.0
108,153,63.0,10.0,-6.0,68.0
109,153,63.0,10.0,-2.0,65.0
110,153,63.0,9.0,-6.0,70.0
111,153,63.0,7.0,-2.0,69.0
112,153,63.0,10.0,-4.0,64.0
113,153,63.0,11.0,-3.0,66.0
114,153,63.0,12.0,-4.0,66.0
115,153,63.0,12.0,3.0,67.0
116,153,63.0,14.0,-4.0,69.0
117,153,63.0,11.0,-3.0,67.0
118,153,63.0,12.0,-2.0,63.0
119,153,63.0,9.0,-8.0,63.0
120,153,63.0,11.0,-10.0,66.0
121,153,63.0,11.0,-7.0,66.0
122,153,63.0,10.0,-2.0,69.0
123,153,63.0,8.0,-3.0,63.0
124,153,63.0,10.0,-5.0,64.0
125,153,63.0,9.0,-4.0,66.0
126,153,63.0,11.0,-4.0,63.0
127,153,63.0,17.0,-10.0,66.0
128,153,63.0,10.0,-1.0,70.0
129,153,63.0,12.0,-7.0,69.0
130,153,63.0,9.0,3.0,66.0
131,153,63.0,10.0,-3.0,63.0
132,153,63.0,12.0,-1.0,67.0
133,153,63.0,8.0,-3.0,63.0
134,153,63.0,12.0,-4.0,64.0
135,153,63.0,10.0,-1.0,64.0
136,153,63.0,13.0,-2.0,66.0
137,153,63.0,12.0,0.0,66.0
138,153,63.0,11.0,-1.0,63.0
139,153,63.0,11.0,2.0,69.0
140,153,63.0,9.0,-6.0,65.0
141,153,63.0,14.0,-12.0,63.0
142,153,63.0,10.0,-7.0,64.0
143,153,63.0,11.0,-1.0,64.0
144,153,63.0,9.0,1.0,64.0
145,153,63.0,8.0,-4.0,70.0
146,153,63.0,12.0,-1.0,65.0
147,153,63.0,9.0,-7.0,64.0
148,153,63.0,12.0,2.0,71.0
149,153,63.0,14.0,2.0,65.0
150,153,63.0,18.0,-2.0,77.0
151,153,63.0,23.0,-1.0,65.0
152,153,63.0,9.0,-2.0,63.0
153,153,63.0,9.0,-2.0,72.0
154,153,63.0,15.0,-2.0,65.0
155,153,63.0,17.0,-3.0,65.0
156,153,63.0,13.0,-3.0,68.0
157,153,63.0,11.0,-1.0,67.0
158,153,63.0,17.0,-2.0,68.0
159,153,63.0,13.0,-1.0,70.0
160,153,63.0,8.0,2.0,63.0
161,153,63.0,14.0,3.0,65.0
162,153,63.0,12.0,2.0,67.0
163,153,63.0,17.0,-6.0,64.0
164,153,63.0,8.0,-1.0,65.0
165,153,63.0,9.0,-2.0,70.0
166,153,63.0,10.0,0.0,66.0
167,153,63.0,10.0,-2.0,73.0
168,153,63.0,11.0,-4.0,74.0
169,153,63.0,19.0,-7.0,68.0
170,153,63.0,12.0,-7.0,63.0
171,153,63.0,14.0,3.0,63.0
172,153,63.0,9.0,-1.0,71.0
173,153,63.0,8.0,0.0,66.0
174,153,63.0,12.0,-6.0,72.0
175,153,63.0,8.0,3.0,66.0
176,153,63.0,6.0,-2.0,64.0
177,153,63.0,13.0,-10.0,63.0
178,153,63.0,17.0,-2.0,63.0
179,153,63.0,17.0,-1.0,67.0
180,153,63.0,10.0,-1.0,64.0
181,153,63.0,8.0,-1.0,64.0
182,153,63.0,9.0,-1.0,64.0
183,153,63.0,12.0,-5.0,68.0
184,153,63.0,16.0,0.0,63.0
185,153,63.0,13.0,3.0,73.0
186,153,63.0,15.0,-4.0,64.0
187,153,63.0,9.0,2.0,65.0
188,153,63.0,8.0,-3.0,63.0
189,153,63.0,10.0,-9.0,73.0
190,153,63.0,13.0,-10.0,67.0
191,153,63.0,7.0,1.0,64.0
192,153,63.0,8.0,-3.0,67.0
193,153,63.0,11.0,-3.0,68.0
194,153,63.0,9.0,-5.0,63.0
195,153,63.0,12.0,-4.0,64.0
196,153,63.0,14.0,-2.0,77.0
197,153,63.0,9.0,-2.0,63.0
198,153,63.0,14.0,-6.0,65.0
199,153,63.0,9.0,-1.0,64.0
200,153,63.0,20.0,1.0,70.0
201,153,63.0,8.0,-2.0,65.0
202,153,63.0,14.0,-1.0,63.0
203,153,63.0,11.0,-9.0,68.0
204,153,63.0,19.0,1.0,82.0
205,153,63.0,11.0,-1.0,66.0
206,153,63.0,12.0,-5.0,69.0
207,153,63.0,14.0,2.0,63.0
208,153,63.0,16.0,-1.0,65.0
209,153,63.0,10.0,-3.0,63.0
210,153,63.0,9.0,-3.0,65.0
211,153,63.0,8.0,-1.0,71.0
212,153,63.0,7.0,-4.0,64.0
213,153,63.0,11.0,-1.0,64.0
214,153,63.0,13.0,-4.0,64.0
215,153,63.0,12.0,-4.0,63.0
216,153,63.0,10.0,-2.0,66.0
217,153,63.0,17.0,-2.0,65.0
218,153,63.0,14.0,-9.0,64.0
219,153,63.0,8.0,-1.0,70.0
220,153,63.0,12.0,-1.0,64.0
221,153,63.0,7.0,-4.0,65.0
222,153,63.0,9.0,-2.0,72.0
223,153,63.0,10.0,-2.0,66.0
224,153,63.0,9.0,-5.0,63.0
225,153,63.0,9.0,2.0,65.0
226,153,63.0,12.0,-2.0,65.0
227,153,63.0,9.0,-6.0,63.0
228,153,63.0,11.0,-3.0,66.0
229,153,63.0,10.0,-3.0,64.0
230,153,63.0,9.0,1.0,63.0
231,153,63.0,17.0,0.0,65.0
232,153,63.0,10.0,-1.0,64.0
233,153,63.0,11.0,-3.0,65.0
234,153,63.0,17.0,2.0,68.0
235,153,63.0,15.0,-1.0,71.0
236,153,63.0,13.0,-10.0,64.0
237,153,63.0,11.0,1.0,71.0
238,153,63.0,12.0,-6.0,72.0
239,153,63.0,13.0,-3.0,66.0
240,153,63.0,13.0,-1.0,64.0
241,153,63.0,12.0,-6.0,63.0
242,153,63.0,11.0,-1.0,65.0
243,153,63.0,15.0,-5.0,75.0
244,153,63.0,12.0,-13.0,64.0
245,153,63.0,7.0,-2.0,63.0
246,153,63.0,13.0,3.0,65.0
247,153,63.0,8.0,-5.0,65.0
248,153,63.0,12.0,1.0,65.0
249,153,63.0,8.0,2.0,64.0
250,153,63.0,10.0,-2.0,63.0
251,153,63.0,11.0,-4.0,70.0
252,153,63.0,11.0,3.0,72.0
253,153,63.0,13.0,2.0,64.0
254,153,63.0,10.0,-5.0,71.0
255,153,63.0,9.0,-3.0,72.0
256,153,63.0,19.0,-4.0,65.0
257,153,63.0,8.0,-1.0,64.0
258,153,63.0,18.0,-4.0,81.0
259,153,63.0,16.0,-3.0,65.0
260,153,63.0,9.0,-1.0,64.0
261,153,63.0,11.0,-1.0,64.0
262,153,63.0,7.0,-4.0,66.0
263,153,63.0,12.0,3.0,63.0
264,153,63.0,11.0,-2.0,74.0
265,153,63.0,20.0,-3.0,64.0
266,153,63.0,12.0,-12.0,63.0
267,153,63.0,11.0,-2.0,63.0
268,153,63.0,9.0,-5.0,68.0
269,153,63.0,8.0,-6.0,64.0
270,153,63.0,10.0,-2.0,64.0
271,153,63.0,14.0,-2.0,67.0
272,153,63.0,19.0,-12.0,63.0
273,153,63.0,11.0,-2.0,63.0
274,153,63.0,14.0,-3.0,63.0
275,153,63.0,15.0,1.0,63.0
276,153,63.0,12.0,2.0,63.0
277,153,63.0,13.0,-2.0,67.0
278,153,63.0,12.0,-2.0,64.0
279,153,63.0,11.0,2.0,66.0
280,153,63.0,11.0,-3.0,63.0
281,153,63.0,13.0,-8.0,64.0
282,153,63.0,18.0,-12.0,65.0
283,153,63.0,14.0,-12.0,64.0
284,153,63.0,10.0,-11.0,63.0
285,153,63.0,8.0,-2.0,70.0
286,153,63.0,11.0,-2.0,63.0
287,153,63.0,8.0,-3.0,66.0
288,153,63.0,11.0,1.0,68.0
289,153,63.0,9.0,-3.0,65.0
290,153,63.0,11.0,3.0,73.0
291,153,63.0,7.0,3.0,70.0
292,153,63.0,12.0,-3.0,63.0
293,153,63.0,8.0,-6.0,63.0
294,153,63.0,21.0,1.0,73.0
295,153,63.0,9.0,-3.0,63.0
296,153,63.0,13.0,-2.0,65.0
297,153,63.0,8.0,-4.0,63.0
298,153,63.0,11.0,2.0,65.0
299,153,63.0,13.0,3.0,64.0
300,153,63.0,10.0,-5.0,66.0
301,153,63.0,8.0,2.0,67.0
302,153,63.0,10.0,0.0,69.0
303,153,63.0,11.0,-4.0,63.0
304,153,63.0,22.0,-8.0,69.0
305,153,63.0,9.0,3.0,63.0
306,153,63.0,14.0,1.0,68.0
307,153,63.0,10.0,-2.0,63.0
308,153,63.0,9.0,-1.0,63.0
309,153,63.0,12.0,-2.0,63.0
310,153,63.0,17.0,2.0,77.0
311,153,63.0,12.0,-1.0,63.0
312,153,63.0,12.0,-1.0,63.0
313,153,63.0,10.0,-4.0,66.0
314,153,63.0,12.0,-8.0,63.0
315,153,63.0,15.0,-2.0,72.0
316,153,63.0,11.0,-4.0,67.0
317,153,63.0,9.0,-6.0,63.0
318,153,63.0,13.0,-3.0,70.0
319,153,63.0,6.0,-3.0,63.0
320,153,63.0,10.0,-3.0,64.0
321,153,63.0,18.0,2.0,64.0
322,153,63.0,11.0,-2.0,63.0
323,153,63.0,13.0,-10.0,63.0
324,153,63.0,10.0,-3.0,63.0
325,153,63.0,18.0,-3.0,63.0
