rule,samples,wins,losses,win_rate,expectancy_r,profit_factor
engulf_bear AND sweep_high,158,54,99,0.34177215189873417,0.3987341772151899,1.6363636363636365
engulf_bull AND bull_fvg AND london,276,83,190,0.3007246376811594,0.213768115942029,1.3105263157894738
large_body AND bull_fvg AND london,146,43,100,0.2945205479452055,0.19863013698630136,1.29
bull_fvg AND london,437,128,304,0.2929061784897025,0.18306636155606407,1.263157894736842
engulf_bull AND large_body AND london,565,159,399,0.2814159292035398,0.13805309734513274,1.1954887218045114
engulf_bear AND rejection_bear AND london,139,37,99,0.26618705035971224,0.08633093525179857,1.121212121212121
engulf_bull AND sweep_high AND bull_fvg,140,37,99,0.2642857142857143,0.08571428571428572,1.121212121212121
engulf_bull AND large_body AND sweep_high,112,28,75,0.25,0.08035714285714286,1.12
sweep_high,1150,294,798,0.25565217391304346,0.07304347826086957,1.105263157894737
engulf_bull AND london,1348,356,973,0.26409495548961426,0.07047477744807122,1.0976361767728675
sweep_high AND bull_fvg,344,88,242,0.2558139534883721,0.06395348837209303,1.0909090909090908
engulf_bull AND sweep_high,467,117,325,0.2505353319057816,0.055674518201284794,1.08
sweep_high AND bull_fvg AND london,96,25,70,0.2604166666666667,0.052083333333333336,1.0714285714285714
engulf_bear AND bear_fvg AND ny,254,61,171,0.24015748031496062,0.047244094488188976,1.0701754385964912
engulf_bear AND bear_fvg AND overlap,201,48,135,0.23880597014925373,0.04477611940298507,1.0666666666666667
sweep_high AND ny,293,66,188,0.22525597269624573,0.034129692832764506,1.053191489361702
sweep_high AND bull_fvg AND ny,86,20,58,0.23255813953488372,0.023255813953488372,1.0344827586206897
rejection_bear AND bear_fvg,87,21,61,0.2413793103448276,0.022988505747126436,1.0327868852459017
large_body AND sweep_high,286,67,195,0.23426573426573427,0.02097902097902098,1.0307692307692307
engulf_bull AND sweep_high AND london,132,33,97,0.25,0.015151515151515152,1.0206185567010309
engulf_bear AND large_body AND bear_fvg,364,88,260,0.24175824175824176,0.01098901098901099,1.0153846153846153
large_body AND sweep_high AND ny,121,25,75,0.2066115702479339,0.0,1.0
rejection_bear AND sweep_high,170,40,121,0.23529411764705882,-0.0058823529411764705,0.9917355371900827
engulf_bear AND bear_fvg,1257,299,906,0.23786793953858393,-0.007159904534606206,0.9900662251655629
london,4145,1008,3057,0.24318455971049457,-0.007961399276236429,0.9892051030421982
bull_fvg,2111,494,1504,0.23401231643770726,-0.010421601136901942,0.9853723404255319
engulf_bear AND bear_fvg AND london,264,64,195,0.24242424242424243,-0.011363636363636364,0.9846153846153847
