rule,samples,wins,losses,win_rate,expectancy_r,profit_factor
rejection_bear AND sweep_low,31,13,17,0.41935483870967744,1.5483870967741935,3.823529411764706
engulf_bear AND rejection_bear AND sweep_low,23,7,15,0.30434782608695654,0.8695652173913043,2.3333333333333335
engulf_bear AND sweep_high AND london,57,16,41,0.2807017543859649,0.6842105263157895,1.951219512195122
engulf_bull AND sweep_low AND ny,20,5,12,0.25,0.65,2.0833333333333335
engulf_bull AND rejection_bull AND sweep_low,30,7,21,0.23333333333333334,0.4666666666666667,1.6666666666666667
engulf_bear AND sweep_low AND london,119,28,88,0.23529411764705882,0.4369747899159664,1.5909090909090908
engulf_bear AND rejection_bear AND bear_fvg,65,14,47,0.2153846153846154,0.35384615384615387,1.4893617021276595
engulf_bull AND sweep_low,140,30,106,0.21428571428571427,0.3142857142857143,1.4150943396226414
rejection_bear AND bear_fvg,78,16,58,0.20512820512820512,0.28205128205128205,1.3793103448275863
engulf_bear AND bear_fvg AND london,252,48,199,0.19047619047619047,0.1626984126984127,1.2060301507537687
large_body AND bear_fvg AND london,166,31,131,0.18674698795180722,0.14457831325301204,1.183206106870229
engulf_bear AND large_body AND sweep_low,127,23,97,0.18110236220472442,0.14173228346456693,1.1855670103092784
large_body AND sweep_high AND london,106,20,85,0.18867924528301888,0.14150943396226415,1.1764705882352942
engulf_bull AND sweep_high,496,89,389,0.17943548387096775,0.11290322580645161,1.1439588688946016
large_body AND bull_fvg,527,91,404,0.17267552182163187,0.0967741935483871,1.1262376237623761
engulf_bull AND rejection_bull AND sweep_high,22,4,18,0.18181818181818182,0.09090909090909091,1.1111111111111112
engulf_bull AND large_body AND bull_fvg,370,64,288,0.17297297297297298,0.08648648648648649,1.1111111111111112
engulf_bear AND large_body AND sweep_high,81,14,63,0.1728395061728395,0.08641975308641975,1.1111111111111112
sweep_high AND london,374,67,304,0.17914438502673796,0.08288770053475936,1.1019736842105263
rejection_bear,1115,194,878,0.17399103139013453,0.08251121076233184,1.1047835990888382
large_body AND bull_fvg AND london,158,28,127,0.17721518987341772,0.08227848101265822,1.1023622047244095
sweep_high,1224,210,961,0.1715686274509804,0.0727124183006536,1.09261186264308
engulf_bear AND rejection_bear,546,93,431,0.17032967032967034,0.06227106227106227,1.0788863109048723
engulf_bear AND london,1297,224,1043,0.17270624518118735,0.059367771781033155,1.0738255033557047
sweep_low AND london,320,55,260,0.171875,0.046875,1.0576923076923077
engulf_bear AND large_body AND london,547,93,442,0.170018281535649,0.04204753199268738,1.0520361990950227
large_body AND sweep_high,294,48,229,0.16326530612244897,0.03741496598639456,1.0480349344978166
engulf_bear AND sweep_high,174,29,139,0.16666666666666666,0.034482758620689655,1.0431654676258992
engulf_bull AND large_body AND sweep_high,130,21,103,0.16153846153846155,0.015384615384615385,1.0194174757281553
engulf_bear AND sweep_low,452,73,359,0.16150442477876106,0.01327433628318584,1.0167130919220055
engulf_bear AND bear_fvg,1166,186,923,0.1595197255574614,0.006003430531732418,1.0075839653304441
rejection_bear AND sweep_high,177,29,145,0.1638418079096045,0.0,1.0
engulf_bull AND sweep_high AND london,152,25,125,0.16447368421052633,0.0,1.0
rejection_bull AND sweep_high,31,5,25,0.16129032258064516,0.0,1.0
london,4133,672,3373,0.16259375756109365,-0.0031454149528187757,0.9961458642158316
engulf_bull AND sweep_high AND bull_fvg,149,24,121,0.1610738255033557,-0.006711409395973154,0.9917355371900827
sweep_low,1169,185,933,0.15825491873396064,-0.006843455945252352,0.9914255091103966
large_body AND london,1506,242,1232,0.16069057104913678,-0.014608233731739707,0.9821428571428571
large_body AND sweep_high AND bull_fvg,47,7,36,0.14893617021276595,-0.02127659574468085,0.9722222222222222
engulf_bear,5892,909,4698,0.15427698574338086,-0.025967413441955193,0.9674329501915708
bear_fvg AND london,452,72,372,0.1592920353982301,-0.02654867256637168,0.967741935483871
sweep_high AND bull_fvg,364,57,296,0.1565934065934066,-0.03021978021978022,0.9628378378378378
bear_fvg,2130,324,1701,0.15211267605633802,-0.038028169014084505,0.9523809523809523
engulf_bull AND bull_fvg,1290,195,1045,0.1511627906976744,-0.05426356589147287,0.9330143540669856
large_body AND bull_fvg AND overlap,160,22,120,0.1375,-0.0625,0.9166666666666666
rejection_bear AND sweep_high AND bull_fvg,73,11,60,0.1506849315068493,-0.0684931506849315,0.9166666666666666
bull_fvg,2173,322,1759,0.14818223653934653,-0.06856879889553613,0.9152927799886299
engulf_bull AND rejection_bull AND bull_fvg,68,10,55,0.14705882352941177,-0.07352941176470588,0.9090909090909091
sweep_high AND bull_fvg AND london,118,18,99,0.15254237288135594,-0.07627118644067797,0.9090909090909091
engulf_bull,6392,934,5193,0.14612015018773467,-0.08182102628285357,0.8992875024070864
engulf_bull AND rejection_bull,562,81,453,0.14412811387900357,-0.08540925266903915,0.8940397350993378
engulf_bull AND bull_fvg AND london,263,39,220,0.1482889733840304,-0.09505703422053231,0.8863636363636364
rejection_bull,1095,156,888,0.14246575342465753,-0.09863013698630137,0.8783783783783784
engulf_bear AND large_body AND bear_fvg,378,53,304,0.1402116402116402,-0.10317460317460317,0.8717105263157895
large_body,5211,723,4166,0.13874496257915947,-0.10573786221454615,0.8677388382141142
engulf_bear AND rejection_bear AND london,122,18,103,0.14754098360655737,-0.10655737704918032,0.8737864077669902
bull_fvg AND london,483,70,402,0.14492753623188406,-0.10766045548654245,0.8706467661691543
engulf_bull AND large_body AND london,546,79,455,0.1446886446886447,-0.10989010989010989,0.8681318681318682
engulf_bear AND large_body,1867,256,1491,0.13711837171933583,-0.11301553294054634,0.8584842387659289
large_body AND sweep_low AND london,103,15,87,0.14563106796116504,-0.11650485436893204,0.8620689655172413
engulf_bear AND sweep_low AND bear_fvg,145,20,117,0.13793103448275862,-0.11724137931034483,0.8547008547008547
large_body AND bull_fvg AND ny,179,23,136,0.12849162011173185,-0.11731843575418995,0.8455882352941176
large_body AND sweep_low,298,40,237,0.1342281879194631,-0.12416107382550336,0.8438818565400844
rejection_bull AND sweep_low,145,20,119,0.13793103448275862,-0.1310344827586207,0.8403361344537815
engulf_bear AND bear_fvg AND overlap,188,24,145,0.1276595744680851,-0.13297872340425532,0.8275862068965517
engulf_bull AND large_body,1918,260,1558,0.13555787278415016,-0.13451511991657977,0.834403080872914
engulf_bull AND london,1268,178,1062,0.14037854889589904,-0.13564668769716087,0.8380414312617702
large_body AND bear_fvg,572,76,459,0.13286713286713286,-0.1381118881118881,0.8278867102396514
rejection_bull AND bear_fvg,156,21,129,0.1346153846153846,-0.15384615384615385,0.813953488372093
rejection_bear AND london,240,33,203,0.1375,-0.15833333333333333,0.812807881773399
rejection_bear AND ny,225,28,176,0.12444444444444444,-0.16,0.7954545454545454
bull_fvg AND overlap,384,47,298,0.12239583333333333,-0.1640625,0.7885906040268457
