feature,importance
atr,0.2391880415016503
volatility_rel,0.21157270671208947
body_pct,0.07661155929145352
upper_wick_pct,0.07649677087735068
lower_wick_pct,0.0711391025439852
swing_high,0.06473473692905989
session_hour,0.06230289899216757
dow,0.05325722593739955
swing_low,0.04186388447158343
london,0.011199857689366936
large_body,0.010536203975380421
engulf_bull,0.00902379353943888
sweep_high,0.008554920885626819
direction,0.00826743160665838
ny,0.008157570099482758
sweep_low,0.008155189950629456
engulf_bear,0.007834706957639192
bear_fvg,0.007538529648201254
overlap,0.007158022651774448
bull_fvg,0.0071482873255723925
rejection_bull,0.004914325673624795
rejection_bear,0.004344232739864702
