run,trades,ending_r,max_drawdown_r,min_equity_r,max_equity_r
1,21,21.0,6.0,0.0,22.0
2,21,21.0,4.0,-1.0,24.0
3,21,21.0,7.0,-1.0,21.0
4,21,21.0,6.0,0.0,27.0
5,21,21.0,8.0,-2.0,21.0
6,21,21.0,7.0,5.0,22.0
7,21,21.0,4.0,5.0,25.0
8,21,21.0,4.0,4.0,25.0
9,21,21.0,6.0,3.0,23.0
10,21,21.0,7.0,5.0,28.0
11,21,21.0,7.0,-3.0,21.0
12,21,21.0,7.0,-1.0,28.0
13,21,21.0,10.0,0.0,21.0
14,21,21.0,7.0,-3.0,21.0
15,21,21.0,4.0,-1.0,21.0
16,21,21.0,5.0,-2.0,26.0
17,21,21.0,7.0,-3.0,22.0
18,21,21.0,6.0,-1.0,22.0
19,21,21.0,6.0,-3.0,27.0
20,21,21.0,4.0,-2.0,21.0
21,21,21.0,6.0,-7.0,21.0
22,21,21.0,5.0,-1.0,23.0
23,21,21.0,4.0,-1.0,24.0
24,21,21.0,8.0,-9.0,23.0
25,21,21.0,6.0,-1.0,21.0
26,21,21.0,4.0,1.0,22.0
27,21,21.0,4.0,-1.0,23.0
28,21,21.0,7.0,3.0,21.0
29,21,21.0,8.0,3.0,25.0
30,21,21.0,6.0,-3.0,22.0
31,21,21.0,5.0,-2.0,22.0
32,21,21.0,6.0,-1.0,22.0
33,21,21.0,4.0,-4.0,23.0
34,21,21.0,4.0,-1.0,25.0
35,21,21.0,6.0,-1.0,27.0
36,21,21.0,7.0,-2.0,23.0
37,21,21.0,7.0,-2.0,21.0
38,21,21.0,5.0,-6.0,25.0
39,21,21.0,4.0,4.0,23.0
40,21,21.0,4.0,3.0,25.0
41,21,21.0,5.0,-2.0,26.0
42,21,21.0,3.0,-2.0,24.0
43,21,21.0,3.0,-1.0,21.0
44,21,21.0,4.0,-1.0,22.0
45,21,21.0,5.0,-1.0,21.0
46,21,21.0,4.0,-1.0,24.0
47,21,21.0,6.0,-1.0,23.0
48,21,21.0,4.0,-2.0,21.0
49,21,21.0,4.0,-1.0,21.0
50,21,21.0,5.0,0.0,21.0
51,21,21.0,8.0,2.0,25.0
52,21,21.0,6.0,-7.0,23.0
53,21,21.0,5.0,-2.0,24.0
54,21,21.0,4.0,-1.0,25.0
55,21,21.0,8.0,-1.0,21.0
56,21,21.0,5.0,-1.0,21.0
57,21,21.0,6.0,-2.0,22.0
58,21,21.0,4.0,-1.0,23.0
59,21,21.0,4.0,5.0,25.0
60,21,21.0,6.0,4.0,27.0
61,21,21.0,6.0,3.0,22.0
62,21,21.0,3.0,-1.0,24.0
63,21,21.0,5.0,-1.0,23.0
64,21,21.0,7.0,2.0,23.0
65,21,21.0,4.0,-2.0,22.0
66,21,21.0,5.0,-2.0,22.0
67,21,21.0,7.0,-1.0,24.0
68,21,21.0,4.0,1.0,23.0
69,21,21.0,7.0,5.0,23.0
70,21,21.0,3.0,-4.0,23.0
71,21,21.0,5.0,3.0,22.0
72,21,21.0,6.0,4.0,21.0
73,21,21.0,8.0,1.0,29.0
74,21,21.0,5.0,-2.0,22.0
75,21,21.0,4.0,-5.0,25.0
76,21,21.0,8.0,-9.0,21.0
77,21,21.0,6.0,-1.0,22.0
78,21,21.0,5.0,-1.0,22.0
79,21,21.0,7.0,-2.0,23.0
80,21,21.0,4.0,-2.0,22.0
81,21,21.0,5.0,3.0,24.0
82,21,21.0,5.0,-6.0,21.0
83,21,21.0,7.0,1.0,28.0
84,21,21.0,3.0,-1.0,24.0
85,21,21.0,4.0,-5.0,21.0
86,21,21.0,5.0,0.0,21.0
87,21,21.0,4.0,-2.0,25.0
88,21,21.0,5.0,1.0,26.0
89,21,21.0,4.0,2.0,25.0
90,21,21.0,5.0,-1.0,21.0
91,21,21.0,6.0,4.0,21.0
92,21,21.0,4.0,-1.0,21.0
93,21,21.0,7.0,-4.0,21.0
94,21,21.0,5.0,5.0,26.0
95,21,21.0,7.0,-1.0,23.0
96,21,21.0,4.0,-5.0,23.0
97,21,21.0,7.0,-1.0,21.0
98,21,21.0,6.0,-7.0,21.0
99,21,21.0,6.0,-3.0,22.0
100,21,21.0,11.0,-2.0,32.0
101,21,21.0,7.0,4.0,28.0
102,21,21.0,5.0,-2.0,21.0
103,21,21.0,6.0,-1.0,23.0
104,21,21.0,4.0,-1.0,25.0
105,21,21.0,6.0,-3.0,21.0
106,21,21.0,5.0,4.0,21.0
107,21,21.0,6.0,-4.0,22.0
108,21,21.0,6.0,-1.0,25.0
109,21,21.0,6.0,-3.0,21.0
110,21,21.0,8.0,4.0,25.0
111,21,21.0,5.0,-1.0,26.0
112,21,21.0,5.0,-2.0,22.0
113,21,21.0,7.0,-8.0,21.0
114,21,21.0,10.0,-1.0,21.0
115,21,21.0,3.0,-2.0,22.0
116,21,21.0,3.0,-2.0,23.0
117,21,21.0,5.0,-4.0,22.0
118,21,21.0,5.0,-2.0,23.0
119,21,21.0,7.0,4.0,22.0
120,21,21.0,5.0,-1.0,23.0
121,21,21.0,7.0,-1.0,21.0
122,21,21.0,4.0,2.0,25.0
123,21,21.0,5.0,5.0,24.0
124,21,21.0,6.0,-1.0,22.0
125,21,21.0,7.0,-1.0,27.0
126,21,21.0,4.0,-3.0,22.0
127,21,21.0,5.0,-2.0,21.0
128,21,21.0,6.0,-2.0,21.0
129,21,21.0,6.0,-7.0,23.0
130,21,21.0,3.0,-1.0,24.0
131,21,21.0,5.0,3.0,25.0
132,21,21.0,7.0,-2.0,21.0
133,21,21.0,5.0,1.0,23.0
134,21,21.0,9.0,-4.0,23.0
135,21,21.0,9.0,5.0,21.0
136,21,21.0,4.0,-2.0,24.0
137,21,21.0,6.0,5.0,27.0
138,21,21.0,6.0,-4.0,22.0
139,21,21.0,7.0,1.0,23.0
140,21,21.0,4.0,3.0,23.0
141,21,21.0,9.0,-3.0,25.0
142,21,21.0,5.0,-2.0,23.0
143,21,21.0,6.0,-1.0,24.0
144,21,21.0,3.0,-3.0,21.0
145,21,21.0,4.0,-1.0,22.0
146,21,21.0,6.0,-2.0,21.0
