rule,samples,wins,losses,win_rate,expectancy_r,profit_factor
rejection_bull AND bull_fvg AND london,22,7,14,0.3181818181818182,0.9545454545454546,2.5
rejection_bear AND bull_fvg AND london,31,7,23,0.22580645161290322,0.3870967741935484,1.5217391304347827
engulf_bull AND sweep_low AND ny,32,7,24,0.21875,0.34375,1.4583333333333333
large_body AND sweep_high AND bull_fvg,29,6,21,0.20689655172413793,0.3103448275862069,1.4285714285714286
large_body AND bull_fvg,501,104,372,0.20758483033932135,0.2954091816367265,1.3978494623655915
engulf_bull AND sweep_low AND overlap,28,6,22,0.21428571428571427,0.2857142857142857,1.3636363636363635
engulf_bull AND large_body AND sweep_low,58,12,45,0.20689655172413793,0.25862068965517243,1.3333333333333333
engulf_bull AND large_body AND bull_fvg,389,78,293,0.20051413881748073,0.2493573264781491,1.3310580204778157
engulf_bull AND sweep_high AND overlap,78,16,61,0.20512820512820512,0.24358974358974358,1.3114754098360655
large_body AND sweep_low AND bear_fvg,42,8,31,0.19047619047619047,0.21428571428571427,1.2903225806451613
rejection_bear AND sweep_high,170,34,135,0.2,0.20588235294117646,1.2592592592592593
engulf_bull AND large_body AND sweep_high,97,19,77,0.1958762886597938,0.18556701030927836,1.2337662337662338
engulf_bear AND rejection_bear AND sweep_high,41,8,33,0.1951219512195122,0.17073170731707318,1.2121212121212122
rejection_bear AND bull_fvg,166,31,127,0.18674698795180722,0.1686746987951807,1.220472440944882
rejection_bear AND sweep_high AND bull_fvg,67,13,54,0.19402985074626866,0.16417910447761194,1.2037037037037037
engulf_bull AND large_body AND london,449,84,349,0.1870824053452116,0.15812917594654788,1.2034383954154728
engulf_bear AND rejection_bear AND ny,92,17,71,0.18478260869565216,0.15217391304347827,1.1971830985915493
rejection_bear AND sweep_high AND overlap,37,7,30,0.1891891891891892,0.13513513513513514,1.1666666666666667
engulf_bear AND sweep_high AND overlap,33,6,26,0.18181818181818182,0.12121212121212122,1.1538461538461537
rejection_bull AND bull_fvg,80,14,61,0.175,0.1125,1.1475409836065573
bull_fvg AND london,498,89,390,0.178714859437751,0.11044176706827309,1.141025641025641
